Nombre,LAT,LON,Tipo
Calidonia,8.82892466788113,-77.6867669078688,Colonia
Caimán,8.271541,-76.770494,Fuerte
Puerto Escondido,9.014699,-76.263115,Fuerte
Puerto Príncipe,8.644371,-78.152018,Fuerte
Mandinga,9.475654,-79.073923,Fuerte
Concepción,9.435887,-78.570000,Fuerte
Portobelo,9.554419,-79.655578,Ciudad
Panamá,9.006691,-79.485264,Ciudad
