Lugar,Cantidad de homicidios,Y,X
Santa Fe,27,4.598225,-74.075767
Cartagena,16,10.422655,-75.539547
Turmequé,1,5.323611,-73.489722
Socorro,1,6.470248,-73.261534
Ibagué,1,4.437778,-75.200556
