Nombre,LAT,LON,Tipo
Riohacha,11.553465,-72.906069,Ciudad
Boronata*,11.328375,-72.596772,Sitio
Bahía Honda,12.325286,-71.780361,Fuerte
Sinamaica,11.086038,-71.854995,Fuerte
Pedraza*,11.714857,-72.266355,Fuerte
Apiesi*,12.302901,-71.345428,Fuerte
Sabana del Valle*,11.636966,-71.840945,Fuerte
Camarones,11.423345,-73.062977,Sitio
Chimare,12.346956,-71.480709,Sitio
Moreno,11.270336,-72.770219,Sitio
