Topónimo,Otros_nombres,Denominación_actual,Tipo,Jurisdicción,Lat,Lon
Simacota,,,Parroquia,,6.443056,-73.3375
Soacha,,,,,4.578056,-74.214444
Socorro,,,Villa,,6.470248,-73.261534
Sogamoso,,,,,5.719259,-72.926705
Somondoco,,,,,4.986111,-73.432222
Sopetrán,,,,,6.501667,-75.743333
Soraca,,,,,5.501576,-73.333559
Suesca,,,,,5.101667,-73.798056
Supía,,,,,5.450556,-75.651389
Tadó,,,,,5.263333,-76.56
Tamalameque,,,,,8.858889,-73.813889
Támara,,,Pueblo,Los Llanos,5.830278,-72.162222
Teguas,,,Pueblo,Tunja,4.952657,-73.182571
Tenerife,,,,,9.897805,-74.862025
Tenza,,,,,5.076944,-73.421111
Tequia,,,,,6.699444,-72.732778
Timbiquí,,,Mina,Micay,2.771944,-77.665
Tiribita,,,,,5.051111,-73.504167
Toboima,,,Pueblo,,2.636887,-75.993767
Tocaima,,,,,4.457778,-74.634722
Toro,,,,,4.61,-76.078333
Tubará,,,Pueblo,Santa Marta,10.87585,-74.976828
Tunja,,,,,5.532583,-73.361597
Túquerres,,,,,1.087222,-77.618889
Turmequé,,,,,5.323611,-73.489722
Ubaté,,,Pueblo,Turmequé,5.307222,-73.814444
Valle de San José,,,,,6.4475,-73.1436
Valle de Tenza,,,,,5.076944,-73.421111
Valledupar,,,,,10.477467,-73.244434
Velez,,,,,6.013056,-73.673611
Villa de Leyva,,,,,5.633056,-73.525556
Zetaquirá,,,,,5.283889,-73.170278
Zipaquirá,,,Pueblo,,5.024722,-74.001389
